ident(String),type(String),name(String),elevation_ft(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String)
SIEN,small_airport,Fazenda S茫o Marcos Airport,1503.0,SA,BR,BR-MT,General Carneiro,SIEN,
SIEO,heliport,Ambev Jaguar铆una Heliport,2192.0,SA,BR,BR-SP,Jaguar铆una,SIEO,
SIEP,heliport,Riachuelo - Matriz Heliport,2595.0,SA,BR,BR-SP,S茫o Paulo,SIEP,
SIER,heliport,Cosan Heliport,1667.0,SA,BR,BR-SP,Piracicaba,SIER,
SIET,small_airport,Est芒ncia Tara Airport,607.0,SA,BR,BR-MS,Miranda,SIET,
SIEU,heliport,Diamante Heliport,1444.0,SA,BR,BR-SP,Ja煤,SIEU,
SIEV,small_airport,Fazenda Boca da On莽a Airport,1050.0,SA,BR,BR-MS,Bodoquena,SIEV,
SIEY,heliport,Pal谩cio das Mangabeiras Heliport,3825.0,SA,BR,BR-MG,Belo Horizonte,SIEY,
SIEZ,small_airport,Fazenda Pedra Branca Airport,2953.0,SA,BR,BR-PR,Tibagi,SIEZ,
SIFA,small_airport,Fazenda Sete Airport,328.0,SA,BR,BR-MS,Miranda,SIFA,
SIFB,heliport,S铆tio Canhanheiro Heliport,7.0,SA,BR,BR-RJ,Parati,SIFB,
SIFC,small_airport,Fazenda Cachoeirinha Airport,722.0,SA,BR,BR-MS,Miranda,SIFC,
SIFD,small_airport,Fazenda Dois Irm茫os Airport,591.0,SA,BR,BR-MT,C谩ceres,SIFD,
SIFE,small_airport,Fazenda Dinor谩 Airport,2100.0,SA,BR,BR-PR,Nova F谩tima,SIFE,
SIFF,small_airport,Fazenda Firme Airport,233.0,SA,BR,BR-MS,Corumb谩,SIFF,
SIFG,heliport,Life Center Heliport,3287.0,SA,BR,BR-MG,Belo Horizonte,SIFG,
SIFH,small_airport,Fazenda Santa Rita do Araguaia Airport,2490.0,SA,BR,BR-GO,Santa Rita do Araguaia,SIFH,
SIFJ,small_airport,Fazenda Jurema Airport,709.0,SA,BR,BR-MS,Rio Brilhante,SIFJ,
SIFK,heliport,Hospital Santa Tereza Heliport,2752.0,SA,BR,BR-RJ,Petr贸polis,SIFK,
SIFL,heliport,Solar dos Vianas Heliport,2342.0,SA,BR,BR-GO,Senador Canedo,SIFL,
SIFM,small_airport,Fazenda Mudan莽a Airport,499.0,SA,BR,BR-MT,Aripuan茫,SIFM,
SIFN,small_airport,Fazenda Planura Airport,188.0,SA,BR,BR-AM,Autazes,SIFN,
SIFQ,small_airport,Condom铆nio Menega Airport,2566.0,SA,BR,BR-RS,Flores Da Cunha,SIFQ,
SIFR,small_airport,Fazenda Romaria Airport,3297.0,SA,BR,BR-MG,Romaria,SIFR,SIFR
SIFS,heliport,Iguassu II Heliport,584.0,SA,BR,BR-PR,Foz Do Igua莽u,SIFS,
SIFT,small_airport,Fazenda Travess茫o Airport,906.0,SA,BR,BR-MT,Vila Bela Da Sant铆ssima Trindade,SIFT,
SIFU,small_airport,Fazenda Ribeir茫o Airport,1319.0,SA,BR,BR-RJ,Barra Do Pira铆,SIFU,
SIFV,small_airport,Primo Bitti Airport,88.0,SA,BR,BR-ES,Aracruz,SIFV,SIFV
SIFW,small_airport,Fazenda S茫o Louren莽o Airport,400.0,SA,BR,BR-MS,Corumb谩,SIFW,
SIFX,heliport,Secretaria da Agricultura Heliport,2608.0,SA,BR,BR-SP,S茫o Paulo,SIFX,
SIFY,small_airport,Fazenda Yndiana Airport,607.0,SA,BR,BR-MS,Porto Murtinho,SIFY,
SIFZ,heliport,Hungria 1100 Heliport,2514.0,SA,BR,BR-SP,S茫o Paulo,SIFZ,
SIGA,heliport,Jardin Guanabara Heliport,210.0,SA,BR,BR-RJ,Rio De Janeiro,SIGA,
SIGB,heliport,Morma II Heliport,171.0,SA,BR,BR-SC,Garopaba,SIGB,
SIGC,heliport,Porto Cubat茫o Heliport,23.0,SA,BR,BR-SP,Canan茅ia,SIGC,
SIGD,heliport,Gota Dourada Heliport,2848.0,SA,BR,BR-SP,Brodowski,SIGD,
SIGE,heliport,Lagoa do Cavalo Heliport,1722.0,SA,BR,BR-PE,Gravat谩,SIGE,
SIGF,small_airport,Fazenda Jopej贸 Airport,1020.0,SA,BR,BR-MT,Chapada Dos Guimar茫es,SIGF,SIGF
SIGG,heliport,Auto Via莽茫o Reginas II Heliport,66.0,SA,BR,BR-RJ,Mag茅,SIGG,
SIGH,heliport,Adalberto S. Monturil Heliport,2759.0,SA,BR,BR-GO,Goi芒nia,SIGH,
SIGI,heliport,Gabinete Militar Heliport,2523.0,SA,BR,BR-GO,Goi芒nia,SIGI,
SIGJ,heliport,Hospital HCA Heliport,103.0,SA,BR,BR-RJ,Rio De Janeiro,SIGJ,
SIGK,heliport,CD Guarulhos Heliport,2648.0,SA,BR,BR-SP,Guarulhos,SIGK,
SIGL,small_airport,Fazenda Boa Sorte Airport,1099.0,SA,BR,BR-MS,Nova Andradina,SIGL,
SIGM,small_airport,Fazenda S茫o Benedito Airport,469.0,SA,BR,BR-MT,C谩ceres,SIGM,
SIGN,small_airport,Asa Delta Airport,1585.0,SA,BR,BR-MT,General Carneiro,SIGN,
SIGO,small_airport,Fazenda Araguari Airport,2126.0,SA,BR,BR-MT,Ga煤cha do Norte,SJAA,SJAA
SIGQ,heliport,Companhia Sider煤rgica Nacional Heliport,1234.0,SA,BR,BR-RJ,Volta Redonda,SIGQ,
SIGR,heliport,Regi茫o das Hort锚ncias Heliport,2805.0,SA,BR,BR-RS,Gramado,SIGR,
SIGS,small_airport,Fazenda Granja Santiago Airport,1946.0,SA,BR,BR-MG,Paracatu,SIGS,
SIGT,small_airport,Fazenda Goiabeira Airport,2260.0,SA,BR,BR-SP,Itaber谩,SIGT,
SIGU,small_airport,Fazenda Caf茅 no Bule Airport,2199.0,SA,BR,BR-MS,Ribas Do Rio Pardo,SIGU,
SIGV,heliport,Rede Record Heliport,2412.0,SA,BR,BR-SP,S茫o Paulo,SIGV,
SIGW,small_airport,Est芒ncia Miranda Airport,640.0,SA,BR,BR-MS,Caracol,SIGW,
SIGX,small_airport,Fazenda Gairova Airport,1083.0,SA,BR,BR-MT,Juara,SIGX,
SIGY,small_airport,Fazenda Progresso Airport,1476.0,SA,BR,BR-PI,Sebasti茫o Leal,SWUV,SWUV
SIGZ,heliport,Banco de Boston II Heliport,2830.0,SA,BR,BR-SP,S茫o Paulo,SIGZ,
SIHA,heliport,Hotel Ariau Amazon Towers Heliport,99.0,SA,BR,BR-AM,Iranduba,SIHA,
SIHB,small_airport,Fazenda Soberana Airport,417.0,SA,BR,BR-MA,Graja煤,SIHB,
SIHC,heliport,Cel PM C铆cero Dantas dos Santos Heliport,172.0,SA,BR,BR-ES,Vit贸ria,SIHC,
SIHD,heliport,Divena Heliport,2473.0,SA,BR,BR-SP,S茫o Paulo,SIHD,
SIHE,heliport,Mendes Heliport,52.0,SA,BR,BR-SP,Santos,SIHE,
SIHF,heliport,Campo de Exposi莽玫es Torto Heliport,3445.0,SA,BR,BR-DF,Bras铆lia,SIHF,
SIHG,small_airport,Fazenda Ponderosa Airport,656.0,SA,BR,BR-TO,Pium,SIHG,
SIHH,heliport,Hotel Intercontinental Heliport,33.0,SA,BR,BR-RJ,Rio De Janeiro,SIHH,
SIHI,small_airport,Fazenda Itaipavas Airport,633.0,SA,BR,BR-PA,Pi莽arras,SIHI,
SIHJ,small_airport,S铆tio Flyer Airport,958.0,SA,BR,BR-TO,Palmas,SIHJ,
SIHK,heliport,Hospital Santa Catarina Heliport,2844.0,SA,BR,BR-SP,S茫o Paulo,SIHK,
SIHL,heliport,Rio Centro Heliport,33.0,SA,BR,BR-RJ,Rio De Janeiro,SIHL,
SIHM,heliport,Drag茫o do Ar Heliport,33.0,SA,BR,BR-CE,Fortaleza,SIHM,
SIHN,small_airport,Est芒ncia Vacadiga Airport,936.0,SA,BR,BR-MS,Bela Vista,SIHN,
SIHO,heliport,Kia Heliport,2080.0,SA,BR,BR-SP,Itu,SIHO,
SIHQ,heliport,脕guas Claras Heliport,3757.0,SA,BR,BR-DF,Bras铆lia,SIHQ,
SIHR,heliport,Roberta Lombardi Heliport,3602.0,SA,BR,BR-MG,Belo Horizonte,SIHR,
SIHS,heliport,Edif铆cio Faria Lima Premium Heliport,2700.0,SA,BR,BR-SP,S茫o Paulo,SIHS,
SIHT,heliport,Tangu谩 Heliport,222.0,SA,BR,BR-RJ,Angra Dos Reis,SIHT,
SIHU,heliport,Unimed Heliport,3924.0,SA,BR,BR-MG,Po莽os De Caldas,SIHU,
SIHV,small_airport,Fazenda Boa Sorte Airport,2002.0,SA,BR,BR-MG,Paracatu,SIHV,
SIHW,small_airport,Agrishow Airport,1781.0,SA,BR,BR-SP,Ribeir茫o Preto,SIHW,
SIHX,heliport,Hospital da Bahia Heliport,105.0,SA,BR,BR-BA,Salvador,SIHX,
SIHY,heliport,Mont Blanc Heliport,6102.0,SA,BR,BR-SP,Campos Do Jord茫o,SIHY,
SIHZ,heliport,Nannai Beach Resort Heliport,9.0,SA,BR,BR-PE,Ipojuca,SIHZ,
SIIA,small_airport,Fazenda Paran谩 Airport,653.0,SA,BR,BR-MT,Brasnorte,SIIA,
SIIB,heliport,Sui莽o Heliport,3189.0,SA,BR,BR-SP,Mairipor茫,SIIB,
SIIC,heliport,Caragoat谩 Heliport,66.0,SA,BR,BR-RJ,Parati,SIIC,
SIID,small_airport,Crepuriz茫o Airport,695.0,SA,BR,BR-PA,Itaituba,SIID,
SIIE,small_airport,Fazenda Cachoeira Branca Airport,1733.0,SA,BR,BR-MS,Ribas Do Rio Pardo,SIIE,
SIIF,heliport,Valpara铆so Heliport,1181.0,SA,BR,BR-SP,Valpara铆so,SIIF,
